earnings_date,2_day_aapl,2_day_spy,2_day_excess,5_day_aapl,5_day_spy,5_day_excess,10_day_aapl,10_day_spy,10_day_excess,15_day_aapl,15_day_spy,15_day_excess,20_day_aapl,20_day_spy,20_day_excess,1_month_aapl,1_month_spy,1_month_excess
2025-01-30,2.1007914714474385,0.6708341481419744,1.429957323305464,-0.16664891946427396,0.5018911308221519,-0.6685400502864258,4.0000177472024,0.9351472239121028,3.0648705232902973,7.393955087746473,1.9957569001507913,5.398198187595682,7.811054678592777,0.36301984662072684,7.44803483197205,3.58730117755377,-3.4979902764275095,7.085291453981279
2024-02-01,0.8631710380285318,0.2903207763000015,0.5728502617285303,0.7518184861486032,1.7561591184132475,-1.0043406322646442,-1.7556574737070396,1.2222144693863513,-2.977871943093391,-2.7372883240759815,1.41305909542353,-4.150347419499512,-2.6252381773471556,3.106280565282038,-5.731518742629193,-9.240677855376767,2.9702532153087935,-12.210931070685561
2023-02-02,1.9244911592414482,1.307865154961263,0.6166260042801852,-0.32256049208696513,-0.43676842953540573,0.1142079374484406,2.5289322408593273,1.0126322232894225,1.5163000175699048,0.6939470754978139,-0.6270756144740708,1.3210226899718847,-3.1608743657610128,-3.2818403162599097,0.12096595049889691,0.06688449725151813,-2.8206705502749285,2.8875550475264466
2022-01-27,-0.09725437121006486,0.675687061812158,-0.7729414330222228,-1.2417647759838113,-0.2689568237064677,-0.9728079522773436,0.9867249699684555,1.6958901243216307,-0.7091651543531752,-3.252561963228029,-2.4205110215504644,-0.8320509416775645,-4.157720188540315,-3.485166142346552,-0.6725540461937634,-6.506505507203697,-4.429781344491546,-2.076724162712151
2021-01-27,,,,2.4228468222293964,2.6473345609240084,-0.22448773869461203,1.5455817792308757,3.726462718384904,-2.1808809391540285,1.0677385847628784,4.361706574080926,-3.2939679893180474,-3.0385846810894512,3.667991260824155,-6.706575941913606,-4.591516635643633,3.5483719883050213,-8.139888623948654
2020-01-28,,,,3.8577085210159234,3.459444094918873,0.39826442609705026,4.136573600622628,4.025116570058906,0.11145703056372191,5.237690184737898,4.932709942557034,0.3049802421808634,3.7317513270508362,4.7306751861197816,-0.9989238590689453,-11.470155122787062,-7.916547369066096,-3.553607753720966
2019-01-29,,,,4.636083062889851,0.9923796536192464,3.6437034092706044,2.1839112029856,0.20734443999566032,1.9765667629899397,2.780973307409318,2.706817801578487,0.07415550583083075,3.1669618054300797,2.7253514530037215,0.44161035242635815,5.525094022777477,3.836208258683027,1.68888576409445
2018-02-01,4.179184578952122,1.9701965237706176,2.2089880551815044,0.35640855176510833,-0.9207155161074398,1.2771240678725482,7.388579000842377,2.1444953587563598,5.244083642086017,10.635184969491206,3.4781618128336467,7.1570231566575595,12.604961282816806,4.084388725181665,8.520572557635141,13.355676915507297,3.3910385978114688,9.96463831769583
2017-01-31,,,,2.293128621509699,-0.04357492362284665,2.3367035451325457,3.709254229451475,1.4955958970712668,2.2136583323802084,5.599981843968149,2.5071873647169562,3.092794479251193,6.230230793168556,3.0958330922110644,3.134397700957492,8.758990345119756,3.9592006529936663,4.799789692126089
2016-01-26,,,,-1.0170403601473699,-1.2492335064244187,0.2321931462770488,-1.8640047562173523,-4.2845294784274905,2.4205247222101383,-2.9175458342556304,-3.659931312510234,0.7423854782546035,-0.5729048392391078,-0.8414468424739807,0.2685420032348729,0.09851717571698337,0.7071815173886886,-0.6086643416717052
2015-01-27,,,,2.0484386976739266,2.3113650028071753,-0.26292630513324866,2.588301177995267,2.5971497805206134,-0.008848602525346472,8.895092814841332,5.1792456497973705,3.7158471650439617,10.069056515485686,5.279509857916498,4.789546657569188,10.077663061365993,5.620461600457394,4.457201460908599
2014-01-27,0.1640855127170937,-0.585837710191639,0.7499232229087327,1.8027751442192486,-2.1424829392418743,3.945258083461123,4.604194454374766,0.2510613585221755,4.3531330958525905,9.497402604832917,2.672545496051848,6.824857108781069,8.164909139308364,2.114605815165982,6.050303324142382,5.924593134431322,3.9390888497357057,1.9855042846956161
2013-01-23,,,,1.258233965667599,-0.2465893849268319,1.5048233505944308,1.7806827702321781,0.6530377699363932,1.127645000295785,6.206408442814171,1.1527881812848362,5.053620261529335,2.892649568601202,1.3593618732336665,1.5332876953675356,-0.9890953710277817,-0.7130039985764003,-0.2760913724513814
