Date,aapl_return,spy_return,excess_return,in_blackout
2012-01-04,0.5373748271191081,0.156872984213563,0.3805018429055451,False
2012-01-05,1.1102378138303726,0.26624954467480144,0.8439882691555711,False
2012-01-06,1.0453775094780626,-0.257760960753306,1.3031384702313686,False
2012-01-09,-0.15858668294941314,0.2427701682426342,-0.40135685119204734,False
2012-01-10,0.35802393828443524,0.8670337194870648,-0.5090097812026295,False
2012-01-11,-0.16302774965356592,0.0542079385052352,-0.21723568815880112,False
2012-01-12,-0.2745421632029066,0.2399477055081034,-0.51448986871101,False
2012-01-13,-0.37491445516590893,-0.517326075326463,0.1424116201605541,False
2012-01-17,1.164803584873364,0.38808835325532254,0.7767152316180415,False
2012-01-18,1.0383935392240806,1.1056140306358264,-0.0672204914117458,False
2012-01-19,-0.31694145053215994,0.5276468956318725,-0.8445883461640324,False
2012-01-20,-1.7416879004471975,0.372707683162421,-2.1143955836096184,False
2012-01-23,1.6915998104640728,-0.25766649622646076,1.9492663066905336,False
2012-01-24,-1.6377337181718632,-0.11395084801830713,-1.523782870153556,False
2012-01-25,6.243927749819322,0.8367142220240709,5.4072135277952516,False
2012-01-26,-0.45449707632106984,-0.5129616549888527,0.058464578667782874,False
2012-01-27,0.5959947289052137,-0.045485543174494936,0.6414802720797086,False
2012-01-30,1.281081131038575,-0.34138203220013263,1.6224631632387077,False
2012-01-31,0.765986342891134,-0.0380406167606373,0.8040269596517713,False
2012-02-01,-0.06350950737394889,0.8757208877607559,-0.9392303951347047,False
2012-02-02,-0.23453574580721837,0.15850875529332953,-0.3930445011005479,False
2012-02-03,1.0019097203178173,1.4018811310581025,-0.3999714107402852,False
2012-02-06,0.9332548236485882,-0.06690476971835668,1.000159593366945,False
2012-02-07,1.047483300695351,0.2528971578439565,0.7945861428513945,False
2012-02-08,1.6744017145205126,0.2967482485200623,1.3776534660004502,False
2012-02-09,3.4593184267750043,0.12576003352637866,3.3335583932486257,False
