earnings_date,recovery_start,aapl_return,spy_return,excess_return
2025-10-30,2025-11-02,1.3469930601569535,-1.6697426411766636,3.016735701333617
2025-07-31,2025-08-03,14.016628784651664,1.9440064671513158,12.072622317500347
2025-05-01,2025-05-04,6.358804548347674,5.446223346245183,0.9125812021024915
2025-01-30,2025-02-02,7.393955087746473,1.9957360332258034,5.39821905452067
2024-10-31,2024-11-03,1.4582857146016703,2.7974254430184864,-1.339139728416816
2024-08-01,2024-08-04,8.143384790031671,7.137891729062096,1.0054930609695756
2024-05-02,2024-05-05,4.632393253476841,2.4933717289847612,2.1390215244920796
2024-02-01,2024-02-04,-2.7372883240759815,1.4130463077068667,-4.150334631782848
2023-11-02,2023-11-05,5.975509809293933,3.4657654854842734,2.5097443238096595
2023-08-03,2023-08-06,-2.306049631537044,-3.1528075035105796,0.8467578719735358
2023-05-04,2023-05-07,1.0964192533656103,1.4246220175934798,-0.32820276422786954
2023-02-02,2023-02-05,0.6939471463377256,-0.6270601701369727,1.3210073164746983
2022-10-27,2022-10-30,-2.2118491957335173,3.184799532136773,-5.39664872787029
2022-07-28,2022-07-31,6.704877978394919,3.9754637634360046,2.729414214958914
2022-04-28,2022-05-01,-6.731991861930586,-3.0785547640482913,-3.653437097882295
2022-01-27,2022-01-30,-3.3900515311792057,-2.1004051742813057,-1.2896463568979
2021-10-28,2021-10-31,0.8384194478958218,1.571618726892976,-0.7331992789971542
2021-07-27,2021-07-30,0.14983325199109387,1.2017773274464405,-1.0519440754553466
2021-04-28,2021-05-01,-5.5513227163333845,-1.89381823599305,-3.6575044803403345
2021-01-27,2021-01-30,0.8885882860641514,3.848687494802605,-2.9600992087384537
2020-10-29,2020-11-01,9.833384039557359,8.449423540247292,1.3839604993100671
2020-07-30,2020-08-02,5.670386677099848,2.4483623830175105,3.2220242940823374
2020-04-30,2020-05-03,5.247299632633817,0.9557105855782178,4.2915890470555995
2020-01-28,2020-01-31,5.966402145267313,4.8767611921063825,1.0896409531609308
2019-10-30,2019-11-02,2.302343493610426,0.7092487385629065,1.5930947550475194
2019-07-30,2019-08-02,-0.2449104426723081,-2.9799606753056262,2.735050232633318
2019-04-30,2019-05-03,-9.489880968327014,-3.0507142098787465,-6.439166758448268
2019-01-29,2019-02-01,2.6362230561171263,1.8255016100714894,0.8107214460456369
2018-11-01,2018-11-04,-3.6632607551746688,0.12437178173814178,-3.7876325369128105
2018-07-31,2018-08-03,1.4362934542928585,-0.6417600862909767,2.078053540583835
2018-05-01,2018-05-04,2.761041057902669,2.338149242075671,0.42289181582699786
2018-02-01,2018-02-04,10.635183862493625,3.4781821482139152,7.157001714279709
2017-11-02,2017-11-05,-2.0019072663282067,-0.38247107382922696,-1.6194361924989797
2017-08-01,2017-08-04,3.3199678590583925,-0.18997493635267704,3.5099427954110696
2017-05-02,2017-05-05,1.282375793180801,-1.618708907233113,2.901084700413914
2017-01-31,2017-02-03,5.436557627058236,2.433079066884969,3.003478560173267
2016-10-25,2016-10-28,-1.9967647311812886,1.8067471177980465,-3.803511848979335
2016-07-26,2016-07-29,4.198278996679794,0.23949910931575502,3.958779887364039
2016-04-26,2016-04-29,-0.7112881517646885,0.0823816187423887,-0.7936697705070772
2016-01-26,2016-01-29,-2.6283812474655943,-4.361982736492198,1.7336014890266038
2015-10-27,2015-10-30,-2.4208724579236063,-0.09138581554872793,-2.3294866423748783
2015-07-21,2015-07-24,-7.309220991957821,0.9951986169832283,-8.30441960894105
2015-04-27,2015-04-30,0.9954307244747662,0.729195753966505,0.26623497050826117
2015-01-27,2015-01-30,7.009927781397285,3.7503224522586365,3.2596053291386484
2014-10-20,2014-10-23,3.5962788099854537,3.149872968125056,0.4464058418603978
2014-07-22,2014-07-25,-2.7746683768322455,-2.8575707048516086,0.08290232801936304
2014-04-23,2014-04-26,-0.47400040683285294,0.42812149927460297,-0.9021219061074559
2014-01-27,2014-01-30,7.88108155927254,1.5343395091221623,6.346742050150378
2013-10-28,2013-10-31,0.06620631876892435,0.6655633769238056,-0.5993570581548813
2013-07-23,2013-07-26,5.439976055436757,0.041356520742508174,5.398619534694249
2013-04-23,2013-04-26,11.179291429927707,3.222896861480473,7.956394568447234
2013-01-23,2013-01-26,4.694843904708201,0.5930522488633905,4.101791655844811
2012-10-25,2012-10-28,-7.686825441805567,-2.256811569218087,-5.43001387258748
2012-07-24,2012-07-27,5.930013876716322,1.3051696013034908,4.624844275412832
2012-04-24,2012-04-27,-5.608637080675849,-3.312214092545307,-2.296422988130542
