earnings_date,aapl_pre_momentum,spy_pre_momentum,relative_strength,above_50ma,pct_from_50ma,above_200ma,pct_from_200ma,market_volatility,pct_from_52wk_high,aapl_return,spy_return,excess_return
2025-01-30,9.844287130790486,0.4451425022325317,9.399144628557954,True,9.600262100884649,True,22.267581855619724,14.220310232098857,0.0,-8.887349126021837,0.0798213185458918,-8.967170444567728
2024-02-01,1.4443205633317024,5.168249570322514,-3.7239290069908115,True,3.951324176266091,True,8.189283057713116,9.33792389247418,-2.2866037364706715,-3.9931905182860605,3.704704990623453,-7.697895508909514
2023-02-02,-10.717573356265998,-4.260913372071773,-6.456659984194225,False,-9.550758364227185,False,-14.394703211717907,20.939302216215534,-28.376327834289494,19.203750626950832,7.539661774967721,11.664088851983111
2022-01-27,8.816068612329907,0.24417131740073206,8.571897294929176,True,11.010239674524303,True,23.923651677924763,20.81040560115315,-1.7665036085793284,-3.3753268467287545,-6.087964589575479,2.712637742846724
2021-01-27,15.836619823412402,3.1739046973491947,12.662715126063208,True,9.632335331910745,True,32.869153042442576,10.303797630556415,-2.2313404226636413,0.7636078485445452,0.6801391799390988,0.08346866860544644
2020-01-28,6.618647184417936,3.008987201463875,3.609659982954061,True,9.169635615138173,True,31.613176086195715,7.6048186374307924,0.0,13.930396902969534,2.0079102605305987,11.922486642438935
2019-01-29,-15.914552572566098,-11.884694837118449,-4.029857735447649,False,-23.14628953163278,False,-23.798320960324947,23.376158323786928,-36.509518208255955,5.898084316459706,9.647405727184433,-3.7493214107247264
2018-02-01,-1.4271658638203788,2.2126782017277913,-3.63984406554817,True,0.9087276363294761,True,10.440714670201,5.991060514103641,-3.0268389941953355,-6.184239252605527,2.8297192225291257,-9.013958475134654
2017-01-31,4.4366946371285465,2.975502817084763,1.4611918200437835,True,4.021470152984286,True,11.427409224091623,7.5240543365583665,-0.3280781692786561,9.611103567675116,0.6629360432282905,8.948167524446825
2016-01-26,-8.849276127807503,-2.965417353174049,-5.883858774633454,False,-7.174927096011996,False,-10.461294163789525,17.70819888715184,-18.382011773176465,-12.254032884420296,-7.071243789070037,-5.182789095350259
2015-01-27,-4.796409271040769,0.6538299908303458,-5.450239261871115,True,2.4079255085894147,True,18.541762089141333,16.1074813551067,-5.428538625368562,5.651302822761628,-2.7725937155603786,8.423896538322007
2014-01-27,4.826825061552564,1.0605600830061679,3.7662649785463964,True,7.102192773018268,True,22.20204874062044,10.197215589034574,0.0,-12.163000447207795,-2.837875952003932,-9.325124495203863
2013-01-23,-5.6263400465006335,4.484990117600307,-10.111330164100941,False,-8.698318483880673,False,-11.908475323271638,9.060328537915636,-24.695371222789408,-16.42191156429831,4.869121000169074,-21.291032564467383
